20 32
0 8 100
0 9 100
1 8 100
1 9 100
2 10 100
2 11 100
3 10 100
3 11 100
4 12 100
4 13 100
5 12 100
5 13 100
6 14 100
6 15 100
7 14 100
7 15 100
8 16 100
10 16 100
12 16 100
14 16 100
8 17 100
10 17 100
12 17 100
14 17 100
9 18 100
11 18 100
13 18 100
15 18 100
9 19 100
11 19 100
13 19 100
15 19 100
27
0 1 95
0 1 27
0 3 54
0 6 259
0 1 118
0 7 111
1 2 64
1 4 155
1 5 35
1 7 74
1 0 731
1 0 198
2 1 88
2 1 27
2 7 37
4 2 46
4 6 447
4 6 197
5 4 49
5 4 23
5 7 143
5 0 518
6 0 17
6 3 94
6 4 331
6 3 113
7 2 164
